proceedsFromIssuanceOfPreferredStock,,,,,,,,,,,,,,,,,,,,
proceedsFromRepurchaseOfEquity,-6213000000,-4479000000,-4325000000,-4485000000,-4972000000,-6717000000,-5451000000,-6198000000,-6233000000,-6534000000,-6727000000,-7072000000,-7142000000,-8345000000,-8296000000,-4998000000,-5216000000,-4973000000,-5192000000,-4146000000
proceedsFromSaleOfTreasuryStock,,,,,,,,,,,,,,,,,,,,
changeInCashAndCashEquivalents,-8499000000,4574000000,144000000,1761000000,-4253000000,2846000000,13407000000,3629000000,-2773000000,-730000000,522000000,4941000000,1439000000,-8106000000,1574000000,9183000000,-7326000000,10887000000,,
changeInExchangeRate,17000000,18000000,-21000000,-72000000,18000000,-64000000,-83000000,-46000000,14000000,-33000000,36000000,-73000000,106000000,24000000,,,,,,
netIncome,8420000000,8809000000,13187000000,10678000000,11649000000,10752000000,11202000000,13893000000,15463000000,15457000000,16458000000,20505000000,18765000000,16728000000,16740000000,17556000000,16425000000,18299000000,20081000000,22291000000
freeCashflow,5193000000.0,10955000000.0,12057000000.0,10433000000.0,7135000000.0,13737000000.0,13929000000.0,14428000000.0,8342000000.0,17090000000.0,16258000000.0,18730000000.0,8615000000.0,20046000000.0,17758000000.0,16915000000.0,4899000000.0,17834000000.0,19827000000.0,20666000000.0
startPeriod,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30
endPeriod,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
stockHigh,116.18,120.82,138.4,142.37,159.55,190.7,203.95,232.86,228.12,246.13,271.65,305.84,349.67,339.36,315.14,294.18,263.92,284.46,351.47,366.78
stockLow,93.96,97.2,118.1,130.78,133.22,132.52,150.36,196.25,199.62,211.94,232.39,269.6,280.25,270.0,241.51,234.41,213.43,219.35,275.37,309.45
stockAverage,107.21,108.98,126.96,137.49,146.61,164.45,180.8,209.93,214.84,231.8,253.62,290.78,323.36,301.31,272.23,264.42,239.87,254.54,312.57,330.6
