,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Current Ratio,1.62,1.54,2.11,2.25,1.73,1.65,1.42,1.47,1.57,1.67,2.08,1.39,1.36,1.42,1.39,1.89,1.31,1.38,1.42,1.55,1.51,1.14,1.12,1.16,1.13,1.18,1.12,1.36,1.66,1.67,2.13,2.08,1.92,1.98,1.90,1.73,1.50,1.63,2.35,1.36,1.36
Asset Turnover,Upgrade,0.21,0.20,0.21,0.21,0.21,0.13,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.21,0.22,0.20,0.19,0.19,0.20,0.19,0.18,0.18,0.18,0.19,0.17,0.18
Interest Coverage,6.85,7.91,9.56,9.32,6.82,1.25,5.55,5.50,4.29,5.54,6.86,5.57,6.11,6.35,6.11,5.70,5.22,4.81,5.85,5.78,5.29,5.61,5.68,5.62,5.22,-3.50,5.65,20.37,26.77,21.81,8.99,18.17,16.95,16.30,12.37,10.14,7.59,6.73,5.35,5.02,5.02
Return on Equity (ROE),Upgrade,21.57%,19.91%,18.69%,18.12%,8.83%,8.93%,8.99%,8.70%,11.53%,11.77%,11.81%,13.12%,13.35%,12.67%,12.17%,18.57%,17.89%,18.39%,20.76%,13.71%,13.61%,12.94%,10.44%,10.89%,4.57%,4.93%,10.25%,16.63%,26.37%,28.10%,26.25%,23.14%,19.58%,19.14%,17.40%,12.67%,9.67%,9.47%,8.40%,5.31%
Return on Assets (ROA),Upgrade,7.72%,7.40%,7.16%,7.00%,2.82%,2.94%,3.06%,3.05%,4.13%,4.40%,4.50%,5.07%,5.23%,5.00%,4.47%,7.65%,7.42%,7.84%,9.03%,5.90%,5.70%,5.19%,4.23%,4.57%,1.86%,2.03%,4.51%,7.75%,12.94%,14.10%,13.24%,11.66%,10.13%,9.76%,8.86%,6.35%,4.95%,4.69%,3.92%,2.50%
Return on Capital (ROIC),Upgrade,10.66%,10.09%,9.77%,9.66%,3.89%,4.33%,4.63%,4.78%,6.33%,6.68%,6.78%,7.56%,7.76%,7.40%,6.67%,11.36%,11.14%,11.76%,11.91%,7.60%,7.21%,6.55%,6.53%,6.77%,4.01%,3.88%,7.23%,11.13%,17.00%,18.42%,17.01%,14.93%,13.00%,12.57%,11.66%,11.96%,10.18%,10.00%,9.15%,3.87%
Earnings Yield,1.88%,1.58%,1.90%,1.85%,1.53%,0.01%,1.61%,1.62%,1.06%,1.57%,1.73%,1.48%,1.62%,1.52%,1.39%,1.36%,5.05%,1.22%,1.49%,2.58%,1.45%,1.42%,1.29%,1.57%,1.61%,-3.01%,1.67%,4.47%,5.50%,3.60%,2.02%,2.52%,2.15%,2.33%,1.93%,2.22%,0.43%,1.22%,1.03%,1.05%,2.27%
FCF Yield,2.81%,1.20%,2.14%,1.66%,2.13%,-1.21%,3.12%,2.34%,2.78%,0.50%,2.42%,1.51%,3.29%,1.27%,1.77%,2.08%,3.34%,0.58%,1.78%,1.02%,3.35%,0.55%,1.14%,2.58%,3.13%,0.92%,1.96%,4.50%,3.96%,4.97%,1.69%,2.79%,2.13%,1.13%,2.31%,1.70%,2.99%,0.16%,1.36%,0.98%,4.68%
Dividend Yield,10.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.22%,1.82%,3.83%,19.05%,0.49%,1.62%,1.05%,0.36%,0.17%,1.02%,7.70%,0.34%,7.59%,1.44%,0.00%,0.00%,0.00%,0.00%,4.33%,0.00%,5.34%,0.00%,0.36%,0.41%,0.36%,0.37%,0.35%,0.37%,1.33%
Payout Ratio,549.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,75.65%,119.51%,275.72%,1399.39%,9.69%,132.62%,70.57%,13.95%,11.40%,71.77%,596.80%,21.98%,472.04%,-47.82%,0.00%,0.00%,0.00%,0.00%,213.95%,0.00%,248.64%,0.00%,18.60%,18.40%,83.57%,30.25%,34.20%,34.86%,61.67%
Buyback Yield / Dilution,8.36%,7.90%,4.84%,2.27%,-8.31%,-18.77%,-18.96%,-19.58%,-10.45%,-1.37%,-1.94%,-1.84%,-0.68%,0.19%,1.14%,1.33%,0.86%,0.68%,0.96%,2.41%,3.77%,4.08%,4.28%,3.16%,2.31%,1.11%,0.20%,-0.31%,-1.34%,-0.51%,1.02%,2.14%,4.57%,5.60%,6.59%,7.48%,5.32%,3.99%,4.08%,3.93%,3.93%
Total Shareholder Return,18.68%,7.90%,4.84%,2.27%,-8.31%,-18.77%,-18.96%,-19.58%,-10.45%,-1.37%,-1.94%,-1.84%,0.55%,2.01%,4.98%,20.38%,1.35%,2.30%,2.01%,2.77%,3.94%,5.09%,11.99%,3.51%,9.90%,2.55%,0.20%,-0.31%,-1.34%,-0.51%,5.35%,2.14%,9.91%,5.60%,6.95%,7.89%,5.67%,4.36%,4.43%,4.30%,5.26%
